target,bert_depth,train_size,n_seeds,RMSE_mean,RMSE_std,RMSE_CI95,MAE_mean,MAE_std,MAE_CI95,Pearson_R_mean,Pearson_R_std,Pearson_R_CI95,R2_mean,R2_std,R2_CI95
gap,6,50,10,0.9556026501148621,0.0423670319457587,0.026259358455343707,0.7380862832691281,0.03457494155996704,0.021429770798155362,0.7077138304710389,0.01484740511705388,0.009202517032573316,0.41609708070755,0.05274406229924902,0.03269110850342711
gap,6,75,10,0.9396103605962204,0.046753729857584206,0.028978261989804435,0.7199099545136434,0.04473501649449505,0.027727050484409908,0.7261401116847992,0.018246241790894104,0.01130913782828552,0.43521838188171386,0.05649893481790906,0.035018402602004714
gap,6,100,10,0.951445867144489,0.05623498220475688,0.034854803077429525,0.722042443243117,0.048435429843097975,0.03002059043968238,0.7170746624469757,0.021832078811849672,0.013531662639942536,0.4203714311122894,0.06950790954843021,0.04308144867572103
gap,6,125,10,0.889627424164867,0.0458117588180542,0.028394422290737492,0.6771591213714737,0.039283195281799466,0.024347976688494602,0.7495678186416626,0.013889373472066003,0.00860872286711213,0.4936277806758881,0.052572575223793924,0.03258481971287413
gap,6,150,10,0.8186357506918486,0.02536238690542865,0.015719770265838477,0.6367725879811671,0.019543758728748452,0.012113347158233832,0.7727970600128173,0.018580702480041532,0.011516438711122625,0.5718709349632263,0.02710642425201824,0.016800735812403916
gap,6,175,10,0.809735975306138,0.02705908462489754,0.016771394407528156,0.6341125522231769,0.028534012025428473,0.017685563881465718,0.7942716598510742,0.00910397299753609,0.005642700924061369,0.5810700356960297,0.02804366413745971,0.01738164311178618
gap,6,200,10,0.8021047124487946,0.05752084852840514,0.03565179128187973,0.6347599131291487,0.049813474598826124,0.03087471142824964,0.8096401035785675,0.03060480680549196,0.018969055783536175,0.5874411940574646,0.06013752858050131,0.03727362638089992
gap,6,225,10,0.7780379294727171,0.03646156616478378,0.02259911284297881,0.6132497628996754,0.03194364309143144,0.019798875110755423,0.8124421894550323,0.016930511215482495,0.010493639568822296,0.6128516554832458,0.03649357553149114,0.02261895245400876
gap,6,250,10,0.7878094894657356,0.032202833833451676,0.019959523197025184,0.6225225152862901,0.028199365438219923,0.017478147777816606,0.8155430734157563,0.014320896542400322,0.008876183637084565,0.603253310918808,0.032071558452508475,0.019878157872945775
gap,6,275,10,0.7696889249372683,0.02876922776314882,0.01783135210611748,0.600013339076903,0.03015740268606968,0.018691751837360566,0.8167470395565033,0.004429390566924324,0.0027453647162372875,0.6213878810405731,0.02890244408664946,0.017913920438857544
gap,6,300,10,0.788710296572389,0.029189745557050575,0.01809199173508781,0.6199572201672595,0.03229788421400719,0.02001843603324934,0.8078704237937927,0.018077340541527556,0.011204451749346834,0.602453088760376,0.029074579988974534,0.018020611376470902
gap,6,325,10,0.7375303662354163,0.029899117955709605,0.01853166530293563,0.5789669904957833,0.03154417844276532,0.019551284356392664,0.844910842180252,0.009926899463120297,0.006152756031764708,0.6522877454757691,0.028183744295253964,0.017468465693096805
