model,target,train_size,n_seeds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Pearson_R_mean,Pearson_R_std,R2_mean,R2_std,n_test_mean
gtca_depth_2,homo,500,10,0.4877221793034921,0.05865168146250753,0.3558657914706785,0.04442501904783822,0.47045429348945617,0.08963966780247401,0.038360428810119605,0.24760816844087827,9997.0
gtca_depth_2,homo,600,3,0.45464270407730983,0.01949751356697866,0.33165296591059523,0.017330397078552447,0.546954333782196,0.023745377589809134,0.17410697539647416,0.07075313886596808,9997.0
gtca_depth_2,homo,700,3,0.473944977277565,0.030029264299047807,0.34226762355265117,0.018066117838467722,0.48709535598754883,0.12734547524416118,0.1011900504430135,0.11516487291412643,9997.0
gtca_depth_2,homo,800,3,0.44229536106748774,0.01291855975222423,0.3196563930626205,0.013370353072070459,0.5581242442131042,0.018531227240576015,0.21887069940567014,0.0456859833835861,9997.0
gtca_depth_2,homo,900,3,0.4268127902597437,0.012113593344281758,0.30801079930557435,0.011356288217335204,0.5957127014795939,0.018188876904363247,0.2726234992345174,0.04155656341407739,9997.0
gtca_depth_2,homo,1000,3,0.4181638426936804,0.011728454575259326,0.30110578813690775,0.009693239664947761,0.6119769215583801,0.006030479429467933,0.3018128077189128,0.038829450219969266,9997.0
gtca_depth_2,homo,1500,3,0.41021794685648616,0.00532077104531374,0.2933522766827905,0.005943617466698673,0.6350034276644388,0.012534087629898693,0.328371266523997,0.017461526085923183,9997.0
gtca_depth_2,homo,2000,3,0.3855573216977094,0.0023475315380765906,0.2747800510724338,0.0031630406324412628,0.668953518072764,0.027491210710671683,0.40674710273742676,0.007235651568354842,9997.0
gtca_depth_2,homo,2500,3,0.37675331539126433,0.010296181407785137,0.269048579599591,0.008753728169394293,0.6967418591181437,0.005627218971723995,0.4332629442214966,0.03072106437362987,9997.0
gtca_depth_2,homo,3000,3,0.3778723408791765,0.013442907745913677,0.2727390398144832,0.009073905845323743,0.7067269881566366,0.012820145611936423,0.4296943147977193,0.04067806801108677,9997.0
gtca_depth_4,homo,50,10,0.6326331651809288,0.012424488768119465,0.45822525390242436,0.011833765389511855,0.10660205930471416,0.08081282976543569,-0.5977391481399537,0.06252046636254481,9997.0
gtca_depth_4,homo,75,10,0.5660773294502285,0.084826414922069,0.41385910758497,0.06672061268260475,0.2600182544440031,0.19892644879152055,-0.30464416146278384,0.39095432151079557,9997.0
gtca_depth_4,homo,100,10,0.6528640674805192,0.059316573908427046,0.48646222927095556,0.054644502558915536,0.2144417144358158,0.07545565218572034,-0.7136074662208557,0.2940286751643347,9997.0
gtca_depth_4,homo,125,10,0.5294950153834141,0.06349678412249113,0.3849366059366205,0.040825656598995716,0.37472380995750426,0.1093477899778268,-0.13333908915519718,0.2736901990104776,9997.0
gtca_depth_4,homo,150,10,0.5228746785356554,0.03503622825089427,0.3724277129721278,0.01602052693229403,0.30316640585660937,0.1273578414413704,-0.09546347856521606,0.1432112429315729,9997.0
gtca_depth_4,homo,175,10,0.5179451761481003,0.04598213023475878,0.3700023564067754,0.02579894970128943,0.2887802392244339,0.15762530535793393,-0.07817321419715881,0.1912690733766679,9997.0
gtca_depth_4,homo,200,10,0.5372001157596351,0.055751477210878815,0.3854948075494389,0.03296888704708904,0.2723305217921734,0.17198043583549402,-0.16282141208648684,0.2365877667023899,9997.0
gtca_depth_4,homo,225,10,0.5166376900668163,0.059310180428745904,0.37289016547959875,0.03705944887929068,0.36491588056087493,0.16174597156070533,-0.07781533598899844,0.25139351101396296,9997.0
gtca_depth_4,homo,250,10,0.5023404012604494,0.05551140493551228,0.36377523389714095,0.035407887973807055,0.39697725921869276,0.13275751991990808,-0.018109333515167254,0.2319571817057721,9997.0
gtca_depth_4,homo,275,10,0.4895154610644857,0.03270145097535908,0.35942939037108074,0.022563705868888013,0.4531521379947662,0.06541548167636517,0.03988139033317564,0.13599792763473992,9997.0
gtca_depth_4,homo,300,10,0.4812128525311673,0.033617710660664456,0.35191026853352464,0.02326246383859681,0.4773413360118866,0.06127313451156798,0.0718266665935516,0.13846047379898951,9997.0
gtca_depth_4,homo,325,10,0.4732659208273067,0.028099362610601645,0.34339348539314346,0.016744961769506288,0.4662378117442131,0.08668802265741844,0.10332016944885251,0.11281714766069216,9997.0
gtca_depth_4,homo,350,10,0.4837208296237916,0.03108081711990047,0.3496748144854715,0.01906996924123348,0.4461705029010773,0.09857158849198576,0.06275851130485534,0.12557918701804863,9997.0
gtca_depth_4,homo,375,10,0.4667363759718933,0.018522562236795173,0.3422250577833455,0.01767568970831148,0.49708784818649293,0.04543130149090058,0.12941793799400325,0.06868593848563462,9997.0
gtca_depth_4,homo,400,10,0.4643241099530574,0.013650650634177471,0.34167463327287223,0.013952874184571327,0.5191113919019699,0.029551166027214668,0.1389440357685089,0.050708579963095635,9997.0
gtca_depth_4,homo,425,10,0.4598751723374134,0.013396152656953224,0.33666222111233574,0.014021000709117165,0.5345173925161362,0.03546304587564129,0.1553773522377014,0.049619767313891894,9997.0
gtca_depth_4,homo,450,10,0.4609440942914973,0.010840811521435774,0.33733576540464144,0.009221933932959055,0.5158206731081009,0.03720232931311977,0.15167183876037593,0.039769962327514834,9997.0
gtca_depth_4,homo,475,10,0.4646475645878781,0.007469030633966489,0.34049121803350824,0.0076473364727589815,0.5123961806297302,0.039752780342557886,0.13821381926536555,0.027601119555246138,9997.0
gtca_depth_4,homo,500,10,0.4773479247006416,0.011924447072947366,0.35191216589244434,0.011419208187616443,0.523952242732048,0.026914781283492843,0.09015976190567013,0.04511642971613269,9997.0
gtca_depth_4,homo,600,3,0.46087212792377047,0.003784206201811087,0.33650669925780397,0.003272575321816822,0.5462678869565328,0.011309472077029713,0.15232066313425696,0.01394244510003835,9997.0
gtca_depth_4,homo,700,3,0.4584265095424979,0.006240860286466124,0.33239525812581655,0.0043172608497274645,0.5305604139963785,0.01774896345945756,0.16122714678446445,0.022854511901956517,9997.0
gtca_depth_4,homo,800,3,0.4645432136630409,0.014811595659292628,0.33861719223360814,0.011175377963329649,0.565756618976593,0.02562212486896035,0.13821744918823237,0.054481687722947446,9997.0
gtca_depth_4,homo,900,3,0.44556485592324835,0.015682783721611523,0.32453808454435784,0.014704361004361354,0.5845132867495219,0.02005171431848352,0.20707581440607703,0.05557716914112678,9997.0
gtca_depth_4,homo,1000,3,0.4407452224407395,0.02212907711136176,0.3227953989690203,0.01955781127040972,0.607862671216329,0.011821333010781749,0.22347456216812134,0.07867256055443905,9997.0
gtca_depth_4,homo,1500,3,0.4266037274354769,0.011514595451081877,0.3095701775362568,0.009897876771177292,0.6367519895235697,0.007403241605402646,0.27337318658828735,0.0393977490935035,9997.0
gtca_depth_4,homo,2000,3,0.41291238931631247,0.01330695973367404,0.2986020942402596,0.011946751884775966,0.6773547927538554,0.015562934828797503,0.31912457942962646,0.04372400258270077,9997.0
gtca_depth_4,homo,2500,3,0.4130830461061774,0.010041222342953475,0.29872721959263354,0.010034422969351855,0.6785740454991659,0.011578767174536462,0.3187648057937622,0.03333622848842216,9997.0
gtca_depth_4,homo,3000,3,0.40015898792986876,0.007851960080808105,0.287735061327715,0.008679245026812759,0.7003587285677592,0.023204951329770948,0.3608132004737854,0.02504185574020616,9997.0
gtca_depth_6,homo,50,10,0.6306746322565092,0.014902275396712236,0.4563789253289813,0.015221821748132114,0.10318375034257768,0.09534674576101342,-0.5881083846092224,0.07543097660642982,9997.0
gtca_depth_6,homo,75,10,0.5059154153002403,0.012359821814437141,0.36701348343065365,0.01000680582630492,0.4320818305015564,0.025998275060693115,-0.021975004673004138,0.05020387896762649,9997.0
gtca_depth_6,homo,100,10,0.6251924871331238,0.060327279125171274,0.46174627819728165,0.05248672838784944,0.23596132472157474,0.09764114808417708,-0.5729066133499146,0.297747511162698,9997.0
gtca_depth_6,homo,125,10,0.4780373624576604,0.017872190185381026,0.3464538182811008,0.010377287358110412,0.4567675441503525,0.06558864210461257,0.08689457178115842,0.06943480202042779,9997.0
gtca_depth_6,homo,150,10,0.4740852706156561,0.030934193041810575,0.3469955826516972,0.0196887024740567,0.4305597320199013,0.09175012787295383,0.09962142109870908,0.12497789603234323,9997.0
gtca_depth_6,homo,175,10,0.5004064554828559,0.04634134916717143,0.35728742900276733,0.02752015577769158,0.32046557366847994,0.16067619374721867,-0.007015746831893909,0.1863408787564179,9997.0
