train_size,model_a,model_b,metric,t_stat,p_value,significant_005,target
325,gtca_depth_6,gtca_depth_2,MAE,-11.786957265119247,1.9259295583727338e-09,True,lumo
325,gtca_depth_6,gtca_depth_4,MAE,-2.901307159898849,0.013402875293157082,True,lumo
350,gtca_depth_6,gtca_depth_2,MAE,-9.98775306151128,1.788519610718263e-08,True,lumo
350,gtca_depth_6,gtca_depth_4,MAE,-3.513679474528741,0.003615156874931305,True,lumo
375,gtca_depth_6,gtca_depth_2,MAE,-5.870458882682341,1.4789959391628734e-05,True,lumo
375,gtca_depth_6,gtca_depth_4,MAE,-2.4336900956312815,0.02674573409977898,True,lumo
400,gtca_depth_6,gtca_depth_2,MAE,-8.801524506318891,1.6065908152551355e-07,True,lumo
400,gtca_depth_6,gtca_depth_4,MAE,-3.5516634031866787,0.002935799438666058,True,lumo
425,gtca_depth_6,gtca_depth_2,MAE,-10.629401866072742,5.442965106626018e-09,True,lumo
425,gtca_depth_6,gtca_depth_4,MAE,-1.9026150979206535,0.08058656180716385,False,lumo
450,gtca_depth_6,gtca_depth_2,MAE,-6.184123784912499,8.942605507513409e-06,True,lumo
450,gtca_depth_6,gtca_depth_4,MAE,-1.3274253243708125,0.20121628258724295,False,lumo
475,gtca_depth_6,gtca_depth_2,MAE,-5.70641908841662,5.474897623703322e-05,True,lumo
475,gtca_depth_6,gtca_depth_4,MAE,-1.689675685914317,0.11201888149203686,False,lumo
500,gtca_depth_6,gtca_depth_2,MAE,-6.811311694448139,2.692763957070658e-06,True,lumo
500,gtca_depth_6,gtca_depth_4,MAE,-2.580349867834708,0.019000179626915758,True,lumo
600,gtca_depth_6,gtca_depth_2,MAE,-5.81993604321891,0.007156461750091606,True,lumo
600,gtca_depth_6,gtca_depth_4,MAE,-0.7604443629564248,0.4918304310171165,False,lumo
700,gtca_depth_6,gtca_depth_2,MAE,-3.45202471726516,0.03966444801340378,True,lumo
700,gtca_depth_6,gtca_depth_4,MAE,-0.8831929401344232,0.4414127874604445,False,lumo
800,gtca_depth_6,gtca_depth_2,MAE,-10.356797578969738,0.0012309522025293713,True,lumo
800,gtca_depth_6,gtca_depth_4,MAE,-4.190627965919351,0.014947633391245834,True,lumo
900,gtca_depth_6,gtca_depth_2,MAE,-4.158768042335889,0.04703820919197305,True,lumo
900,gtca_depth_6,gtca_depth_4,MAE,-2.000924816683882,0.17799080255652355,False,lumo
1000,gtca_depth_6,gtca_depth_2,MAE,-6.716487343655968,0.01513252535896231,True,lumo
1000,gtca_depth_6,gtca_depth_4,MAE,-1.9371310640982649,0.12792835890374316,False,lumo
1500,gtca_depth_6,gtca_depth_2,MAE,-2.3060408643254537,0.11771005529941792,False,lumo
1500,gtca_depth_6,gtca_depth_4,MAE,-0.991784660116071,0.3801119269872907,False,lumo
2000,gtca_depth_6,gtca_depth_2,MAE,-10.06248358485577,0.007622821830675172,True,lumo
2000,gtca_depth_6,gtca_depth_4,MAE,-2.1986439627425485,0.11871643422817946,False,lumo
2500,gtca_depth_6,gtca_depth_2,MAE,-5.344290270194769,0.009791151540047737,True,lumo
2500,gtca_depth_6,gtca_depth_4,MAE,-1.5190956386636478,0.23241176163982685,False,lumo
3000,gtca_depth_6,gtca_depth_2,MAE,-5.1646543831494185,0.013839057291236667,True,lumo
3000,gtca_depth_6,gtca_depth_4,MAE,-0.40442986421688565,0.7152328996534542,False,lumo
50,gtca_depth_6,gtca_depth_2,RMSE,-1.7197235272358666,0.10564343977544793,False,gap
50,gtca_depth_6,gtca_depth_4,RMSE,-2.6695718011384324,0.015871738169931277,True,gap
75,gtca_depth_6,gtca_depth_2,RMSE,-1.9267071037589578,0.07328245323292266,False,gap
75,gtca_depth_6,gtca_depth_4,RMSE,-3.9329309168390205,0.0010252868748397673,True,gap
100,gtca_depth_6,gtca_depth_2,RMSE,-1.9054424624138673,0.0737089428238378,False,gap
100,gtca_depth_6,gtca_depth_4,RMSE,-2.1624239570955837,0.04637728997830542,True,gap
125,gtca_depth_6,gtca_depth_2,RMSE,-3.6984337909166105,0.002307197899068532,True,gap
125,gtca_depth_6,gtca_depth_4,RMSE,-1.3207861379058088,0.2104120809598799,False,gap
150,gtca_depth_6,gtca_depth_2,RMSE,-9.800529364923106,1.2882209433898315e-07,True,gap
150,gtca_depth_6,gtca_depth_4,RMSE,-1.983411364518104,0.06799706752483443,False,gap
175,gtca_depth_6,gtca_depth_2,RMSE,-7.40036851114708,8.532106857629662e-07,True,gap
175,gtca_depth_6,gtca_depth_4,RMSE,-0.9962749874437795,0.33355970925348044,False,gap
200,gtca_depth_6,gtca_depth_2,RMSE,-3.496096690265867,0.003566844077164425,True,gap
200,gtca_depth_6,gtca_depth_4,RMSE,0.25498754456883566,0.803859074667172,False,gap
225,gtca_depth_6,gtca_depth_2,RMSE,-5.5046663149801915,3.4293736855232496e-05,True,gap
225,gtca_depth_6,gtca_depth_4,RMSE,-1.4234409768452487,0.17412898168223673,False,gap
250,gtca_depth_6,gtca_depth_2,RMSE,-5.529801148125351,3.5777027898214724e-05,True,gap
250,gtca_depth_6,gtca_depth_4,RMSE,-1.0915767197529138,0.28949933535887035,False,gap
275,gtca_depth_6,gtca_depth_2,RMSE,-8.98851718274427,5.137071363416508e-08,True,gap
275,gtca_depth_6,gtca_depth_4,RMSE,-2.404972669939619,0.027370213089774643,True,gap
300,gtca_depth_6,gtca_depth_2,RMSE,-4.583682602068923,0.00038406199857350014,True,gap
300,gtca_depth_6,gtca_depth_4,RMSE,0.07195772352057353,0.943472332816314,False,gap
325,gtca_depth_6,gtca_depth_2,RMSE,-7.265613104549967,1.365574028956688e-06,True,gap
325,gtca_depth_6,gtca_depth_4,RMSE,-1.9418689571790682,0.06804253349803506,False,gap
350,gtca_depth_6,gtca_depth_2,RMSE,-3.7817253900629786,0.001406502611418583,True,gap
350,gtca_depth_6,gtca_depth_4,RMSE,1.422873981877045,0.1748960238803964,False,gap
375,gtca_depth_6,gtca_depth_2,RMSE,-3.8314733705694657,0.0012332578928487693,True,gap
375,gtca_depth_6,gtca_depth_4,RMSE,0.4027773344023175,0.6929016419100594,False,gap
400,gtca_depth_6,gtca_depth_2,RMSE,-9.464409036127043,2.5557080244165367e-08,True,gap
400,gtca_depth_6,gtca_depth_4,RMSE,-0.4487585679178352,0.6589960088849405,False,gap
425,gtca_depth_6,gtca_depth_2,RMSE,-6.862330300430144,3.4444629569574552e-06,True,gap
425,gtca_depth_6,gtca_depth_4,RMSE,-2.418210951826058,0.0313748619772227,True,gap
450,gtca_depth_6,gtca_depth_2,RMSE,-3.831058314030687,0.002491944910910783,True,gap
450,gtca_depth_6,gtca_depth_4,RMSE,0.43483863427526265,0.6702084277807646,False,gap
475,gtca_depth_6,gtca_depth_2,RMSE,-4.518997648003598,0.0005160376727155104,True,gap
475,gtca_depth_6,gtca_depth_4,RMSE,-0.9038438601376911,0.3807137818531206,False,gap
500,gtca_depth_6,gtca_depth_2,RMSE,-4.45174060387203,0.00030887348850397483,True,gap
500,gtca_depth_6,gtca_depth_4,RMSE,-1.0393249822354742,0.3124193275848833,False,gap
600,gtca_depth_6,gtca_depth_2,RMSE,-5.783424145362404,0.022383998001743184,True,gap
600,gtca_depth_6,gtca_depth_4,RMSE,-0.0520208669553419,0.9628777561325677,False,gap
700,gtca_depth_6,gtca_depth_2,RMSE,-1.7075895537158177,0.21928380921996748,False,gap
700,gtca_depth_6,gtca_depth_4,RMSE,-0.47114758382672245,0.662302720309407,False,gap
800,gtca_depth_6,gtca_depth_2,RMSE,-2.48259315066565,0.11786898980683207,False,gap
800,gtca_depth_6,gtca_depth_4,RMSE,-0.19647470933593014,0.8538825335083976,False,gap
900,gtca_depth_6,gtca_depth_2,RMSE,0.5644467919035824,0.603725132338194,False,gap
900,gtca_depth_6,gtca_depth_4,RMSE,0.421618420864838,0.7070600514932317,False,gap
1000,gtca_depth_6,gtca_depth_2,RMSE,-0.1507689096512237,0.8909602698180559,False,gap
1000,gtca_depth_6,gtca_depth_4,RMSE,-0.29667662678888,0.7831443212570167,False,gap
1500,gtca_depth_6,gtca_depth_2,RMSE,-0.40906526142388755,0.7085302119208202,False,gap
1500,gtca_depth_6,gtca_depth_4,RMSE,1.7293170993448173,0.1600793715140385,False,gap
2000,gtca_depth_6,gtca_depth_2,RMSE,-2.4023148208747496,0.07564038865696551,False,gap
2000,gtca_depth_6,gtca_depth_4,RMSE,0.8817741999373477,0.43132162128153206,False,gap
2500,gtca_depth_6,gtca_depth_2,RMSE,-1.5486191109699359,0.22804520077746804,False,gap
2500,gtca_depth_6,gtca_depth_4,RMSE,1.3660087140953758,0.25688054957225176,False,gap
3000,gtca_depth_6,gtca_depth_2,RMSE,0.6684901443336246,0.5690261320966464,False,gap
3000,gtca_depth_6,gtca_depth_4,RMSE,1.121065231818154,0.37144424534427595,False,gap
50,gtca_depth_6,gtca_depth_2,MAE,-1.7450538450782895,0.10318137125050993,False,gap
50,gtca_depth_6,gtca_depth_4,MAE,-2.5418062743005736,0.02089987947694499,True,gap
